class,left_elbow,left_shoulder,left_hip,left_knee,right_elbow,right_shoulder,right_hip,right_knee
1. left_temple_block_correct,-103.06549582300515,-75.724892223743,-162.49441645890852,167.05346898936492,95.80795461686245,74.52556857562013,-168.46948409575776,-167.41831282134706
1. left_temple_block_correct,-103.06549582300515,-75.724892223743,-162.49441645890852,167.05346898936492,95.80795461686245,74.52556857562013,-168.46948409575776,-167.41831282134706
1. left_temple_block_correct,-150.78628928766656,-83.7722330585898,-152.18843412962192,-177.56846580032683,127.06830113480311,75.83940242035152,-127.16399772161991,148.59574772247893
1. left_temple_block_correct,-150.78628928766656,-83.7722330585898,-152.18843412962192,-177.56846580032683,127.06830113480311,75.83940242035152,-127.16399772161991,148.59574772247893
1. left_temple_block_correct,-158.33135936516751,-89.20063717381046,-154.30783398296356,166.9781221366879,147.90635915741717,71.9684615294557,-157.5904631027902,-170.23829326526882
1. left_temple_block_correct,-158.33135936516751,-89.20063717381046,-154.30783398296356,166.9781221366879,147.90635915741717,71.9684615294557,-157.5904631027902,-170.23829326526882
1. left_temple_block_correct,-132.12872902623616,-51.2500979033968,-177.4421467691538,-135.3567561796282,128.77523771612312,72.64547079439976,-169.83139367776653,164.9435811881026
1. left_temple_block_correct,-132.12872902623616,-51.2500979033968,-177.4421467691538,-135.3567561796282,128.77523771612312,72.64547079439976,-169.83139367776653,164.9435811881026
1. left_temple_block_correct,-136.47969869835066,-70.52378851050909,150.2449942182518,174.67434296644802,137.36519514513589,68.40471428573854,-155.45410115851985,163.51443028708584
1. left_temple_block_correct,-136.47969869835066,-70.52378851050909,150.2449942182518,174.67434296644802,137.36519514513589,68.40471428573854,-155.45410115851985,163.51443028708584
1. left_temple_block_correct,-132.62273893717946,-46.316817649039784,-163.99921565612834,-159.633704978483,141.16693973628378,63.152577746724525,-159.54814577330114,-166.80397961884424
1. left_temple_block_correct,-132.62273893717946,-46.316817649039784,-163.99921565612834,-159.633704978483,141.16693973628378,63.152577746724525,-159.54814577330114,-166.80397961884424
10. left_eye_thrust_correct,-114.06501876870836,-85.32117161911535,131.04602736743516,149.55377781885522,130.78327269169594,105.57949067904522,149.03397164722702,-141.40118117765815
10. left_eye_thrust_correct,-114.06501876870836,-85.32117161911535,131.04602736743516,149.55377781885522,130.78327269169594,105.57949067904522,149.03397164722702,-141.40118117765815
10. left_eye_thrust_correct,-117.29310303646004,-65.21768701327102,154.32895073576088,164.41604299889082,139.44114431167208,96.71431504196079,159.9201890409956,-147.14306705033553
10. left_eye_thrust_correct,-117.29310303646004,-65.21768701327102,154.32895073576088,164.41604299889082,139.44114431167208,96.71431504196079,159.9201890409956,-147.14306705033553
10. left_eye_thrust_correct,-78.83997052388266,-67.25925274227119,146.6958857841125,162.7635684245756,138.07772802289344,125.37738263006185,167.3963213387314,-158.47936886688055
10. left_eye_thrust_correct,-78.83997052388266,-67.25925274227119,146.6958857841125,162.7635684245756,138.07772802289344,125.37738263006185,167.3963213387314,-158.47936886688055
10. left_eye_thrust_correct,-100.41473204814568,-61.5918081490553,166.50702736790933,-151.49260207567713,-158.31614996005064,-104.63470718841947,-168.93233949016434,154.64930796627868
10. left_eye_thrust_correct,-100.41473204814568,-61.5918081490553,166.50702736790933,-151.49260207567713,-158.31614996005064,-104.63470718841947,-168.93233949016434,154.64930796627868
10. left_eye_thrust_correct,-100.33318588963778,-54.75202429435038,146.7004587596992,160.59632319737176,145.83967978506226,-102.48996689355491,164.95643925860688,-160.27738854094466
10. left_eye_thrust_correct,-100.33318588963778,-54.75202429435038,146.7004587596992,160.59632319737176,145.83967978506226,-102.48996689355491,164.95643925860688,-160.27738854094466
10. left_eye_thrust_correct,-116.14147330406881,-60.259139115568686,159.2121926712428,170.58374543911194,154.31117393043232,122.84212325805196,176.10709779430337,-168.63877625150408
10. left_eye_thrust_correct,-116.14147330406881,-60.259139115568686,159.2121926712428,170.58374543911194,154.31117393043232,122.84212325805196,176.10709779430337,-168.63877625150408
10. left_eye_thrust_correct,130.5315326717855,-73.57277297770834,-156.7721871967834,159.3598750830576,143.22484613910078,-100.97011306321467,145.17290856775637,-167.46454344241175
10. left_eye_thrust_correct,-116.39949779326497,-62.084789316181805,-164.246156294924,147.55656817093373,120.77883989547867,90.28538789739562,-163.5938592527153,-172.40283348164598
10. left_eye_thrust_correct,130.5315326717855,-73.57277297770834,-156.7721871967834,159.3598750830576,143.22484613910078,-100.97011306321467,145.17290856775637,-167.46454344241175
10. left_eye_thrust_correct,-116.39949779326497,-62.084789316181805,-164.246156294924,147.55656817093373,120.77883989547867,90.28538789739562,-163.5938592527153,-172.40283348164598
